-4.4689923394e+00 1.0037099914e-01 -5.7759505650e-03 -4.2266554712e-03
-4.4747682900e+00 9.6144343672e-02 -6.1344040210e-05 7.0585166894e-06
-4.4748296340e+00 9.6151402189e-02 -2.0748939071e-07 2.1318912449e-08
-4.4748298415e+00 9.6151423508e-02 -9.1817737636e-10 9.1921032300e-11
-8.9637283851e+00 1.8873159026e-01 7.0974661318e-04 -4.2318143632e-03
-8.9630186385e+00 1.8449977589e-01 -7.1277599844e-05 7.4595180758e-06
-8.9630899161e+00 1.8450723541e-01 -3.4354125826e-07 3.6905673965e-08
-8.9630902596e+00 1.8450727232e-01 -2.6040293359e-09 2.6406026559e-10
-1.3469702867e+01 2.7004235169e-01 6.2095759258e-03 -4.1768427077e-03
-1.3463493291e+01 2.6586550898e-01 -4.6097799213e-05 4.2375464261e-06
-1.3463539389e+01 2.6586974653e-01 1.6482587973e-08 6.2710747362e-09
-1.3463539373e+01 2.6586975280e-01 2.2048218540e-09 -1.6120046936e-10
-1.7985386050e+01 3.4501821174e-01 1.0831633111e-02 -4.0759706179e-03
-1.7974554417e+01 3.4094224113e-01 3.3252317333e-06 -1.2667248760e-06
-1.7974551092e+01 3.4094097440e-01 1.0658161831e-06 -8.5945676643e-08
-1.7974550026e+01 3.4094088846e-01 2.3294412747e-08 -2.0340401728e-09
-2.2509005218e+01 4.1428621962e-01 1.4675371902e-02 -3.9411650763e-03
-2.2494329846e+01 4.1034505454e-01 6.8673936978e-05 -8.0567354437e-06
-2.2494261172e+01 4.1033699780e-01 2.8504274982e-06 -2.3994367818e-07
-2.2494258322e+01 4.1033675786e-01 6.9402200193e-08 -6.0287342026e-09
-2.2494258252e+01 4.1033675183e-01 1.6127205849e-09 -1.4175718016e-10
-2.7038660281e+01 4.7839768378e-01 1.7831493418e-02 -3.7823737726e-03
-2.7020828788e+01 4.7461531001e-01 1.4363449773e-04 -1.5402593528e-05
-2.7020685153e+01 4.7459990741e-01 5.3270231812e-06 -4.4741076604e-07
-2.7020679826e+01 4.7459946000e-01 1.4671085328e-07 -1.2520318036e-08
-2.7020679680e+01 4.7459944748e-01 3.9309212480e-09 -3.3792504005e-10
-3.1572411672e+01 5.3783845213e-01 2.0382145178e-02 -3.6077726167e-03
-3.1552029527e+01 5.3423067952e-01 2.2345685783e-04 -2.2780549691e-05
-3.1551806070e+01 5.3420789897e-01 8.4023454373e-06 -6.9588198597e-07
-3.1551797667e+01 5.3420720308e-01 2.5848928492e-07 -2.1579251590e-08
-3.1551797409e+01 5.3420718151e-01 7.8079777597e-09 -6.5509616073e-10
-3.6108344873e+01 5.9303764713e-01 2.2401298898e-02 -3.4240047252e-03
-3.6085943575e+01 5.8961364240e-01 3.0460416224e-04 -2.9825492211e-05
-3.6085638970e+01 5.8958381691e-01 1.1959181444e-05 -9.7151620316e-07
-3.6085627011e+01 5.8958284539e-01 4.0531892824e-07 -3.3021004233e-08
-3.6085626606e+01 5.8958281237e-01 1.3558218526e-08 -1.1085806838e-09
-4.0644615875e+01 6.4437511414e-01 2.3955250542e-02 -3.2364031896e-03
-4.0620660624e+01 6.4113871095e-01 3.8447573401e-04 -3.6293633388e-05
-4.0620276149e+01 6.4110241732e-01 1.5873063554e-05 -1.2607903824e-06
-4.0620260276e+01 6.4110115653e-01 5.8557425244e-07 -4.6474791351e-08
-4.0620259690e+01 6.4110111005e-01 2.1389539973e-08 -1.7021927117e-09
-4.5179481436e+01 6.9218779433e-01 2.5103181709e-02 -3.0491936540e-03
-4.5154378254e+01 6.8913860067e-01 4.6118953554e-04 -4.2033193381e-05
-4.5153917065e+01 6.8909656748e-01 2.0022541099e-05 -1.5514628818e-06
-4.5153897042e+01 6.8909501602e-01 7.9597065247e-07 -6.1452331727e-08
-4.5153896246e+01 6.8909495456e-01 3.1395834147e-08 -2.4288520598e-09
-4.9711317595e+01 7.3677519397e-01 2.5897748921e-02 -2.8656745689e-03
-4.9685419847e+01 7.3390951940e-01 5.3341248488e-04 -4.6961418928e-05
